vardekod,vardebenamning
53F,Gymnasieutbildning inom fordonsteknik
53FA,Gymnasieutbildning inom fordonsteknik
53K,Gymnasieutbildning inom textil- och konfektionsteknik
53KA,Gymnasieutbildning inom textil- och konfektionsteknik
53L,Gymnasieutbildning inom livsmedel
53LA,Gymnasieutbildning inom livsmedel
53P,Gymnasieutbildning inom processteknik
53PA,Gymnasieutbildning inom processteknik
53R,Gymnasieutbildning inom energi och VVS
53RA,Gymnasieutbildning inom energi och VVS
53T,Gymnasieutbildning inom träteknik
53TA,Gymnasieutbildning inom träteknik
53V,Gymnasieutbildning inom verkstadsteknik
53VA,Gymnasieutbildning inom industriteknik
53X,Övrig gymnasial utbildning inom teknik och tillverkning
53XA,Övrig gymnasial utbildning inom teknik och tillverkning
54P,"Minst 30 högskolepoäng inom teknik och tillverkning, ej examen"
54PH,"180 eller fler högskolepoäng inom teknik och tillverkning, ej examen"
54PL,"30-179 högskolepoäng inom teknik och tillverkning, ej examen"
54YA,Eftergymnasial yrkesutbildning inom bygg- och anläggningsteknik kortare än 3 år
54YB,Eftergymnasial yrkesutbildning inom industriteknik kortare än 3 år
54YC,Eftergymnasial yrkesutbildning inom elektroteknik och datateknik kortare än 3 år
55A,Arkitekt- och landskapsarkitektutbildning
55AA,Arkitekt- och landskapsarkitektutbildning
55C,"Civilingenjörsutbildning inom samhällsbyggnad, byggnadsteknik och miljöteknik"
55CA,"Civilingenjörsutbildning inom samhällsbyggnad, byggnadsteknik och miljöteknik"
55D,"Civilingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi"
55DA,"Civilingenjörsutbildning, industriell ekonomi"
55DB,"Civilingenjörsutbildning inom maskin, fordon och farkost"
55E,"Civilingenjörsutbildning inom elektroteknik, teknisk fysik och datateknik"
55EA,"Civilingenjörsutbildning inom elektroteknik, teknisk fysik och datateknik"
55F,"Civilingenjörsutbildning inom kemi- och bioteknik, material- och geoteknik"
55FA,"Civilingenjörsutbildning inom kemi- och bioteknik, material- och geoteknik"
55G,Övrig civilingenjörsutbildning
55GA,Övrig civilingenjörsutbildning
55H,"Ingenjörsutbildning inom samhällsbyggnad, byggnadsteknik och miljöteknik (eftergymnasial)"
55HA,"Ingenjörsutbildning inom samhällsbyggnad, byggnadsteknik och miljöteknik (eftergymnasial)"
55I,"Ingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi  (eftergymnasial)"
55IA,"Ingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi (eftergymnasial)"
55J,"Ingenjörsutbildning inom elektroteknik, teknisk fysik och datateknik (eftergymnasial)"
55JA,"Ingenjörsutbildning inom elektroteknik, teknisk fysik och datateknik (eftergymnasial)"
55K,"Ingenjörsutbildning inom kemi- och bioteknik, material- och geoteknik (eftergymnasial)"
55KA,"Ingenjörsutbildning inom kemi- och bioteknik, material- och geoteknik (eftergymnasial)"
55L,Övrig ingenjörsutbildning (eftergymnasial)
55LA,Övrig ingenjörsutbildning (eftergymnasial)
55X,Övrig eftergymnasial utbildning inom teknik och tillverkning
55XA,Övrig eftergymnasial utbildning inom teknik och tillverkning
63AA,Gymnasieutbildning inom lantbruk
63XA,Övrig gymnasial utbildning inom lant- och skogsbruk samt djursjukvård
63Z,Gymnasial utbildning inom lant- och skogsbruk samt djursjukvård
64P,"Minst 30 högskolepoäng inom lant- och skogsbruk samt djursjukvård, ej examen"
64PH,"180 eller fler högskolepoäng inom lant- och skogsbruk samt djursjukvård, ej examen"
64PL,"30-179 högskolepoäng inom lant- och skogsbruk samt djursjukvård, ej examen"
65J,Lantbruksvetenskaplig högskoleutbildning (minst 3 år)
65JA,"Eftergymnasial utbildning inom lantbruk och trädgård, minst 3 år"
65S,Skogsbruksvetenskaplig högskoleutbildning (minst 3 år)
65SA,"Eftergymnasial utbildning inom skogsbruksvetenskap, minst 3 år"
65V,Veterinärutbildning
65VA,Veterinärutbildning
65X,"Övrig eftergymnasial utbildning inom lant- och skogsbruk, samt djursjukvård"
65XA,"Övrig eftergymnasial utbildning inom lant- och skogsbruk, samt djursjukvård"
73B,Gymnasial utbildning med inriktning mot barn och ungdom
73BA,Gymnasieutbildning inom barn och ungdom
73O,Omvårdnads- och omsorgsutbildning på gymnasial nivå
73OA,Gymnasieutbildning inom omvårdnad och social omsorg
73T,Tandvårdsutbildning på gymnasial nivå
73TA,Gymnasieutbildning inom tandvård
73X,Övrig gymnasial utbildning inom hälso- och sjukvård och social omsorg
73XA,Övrig gymnasial utbildning inom hälso- och sjukvård och social omsorg
74P,"Minst 30 högskolepoäng inom hälso- o sjukvård och social omsorg, ej examen"
74PH,"180 eller fler högskolepoäng inom hälso- och sjukvård och social omsorg, ej examen"
74PL,"30-179 högskolepoäng inom hälso- och sjukvård och social omsorg, ej examen"
74YA,Eftergymnasial yrkesutbildning inom omvårdnad kortare än 3 år
74YB,Eftergymnasial yrkesutbildning inom tandvård kortare än 3 år
75A,Apotekarutbildning
75AA,Apotekarutbildning
75B,Arbetsterapeututbildning
75BA,Arbetsterapeututbildning
75D,Biomedicinsk analytikerutbildning
75DA,Biomedicinsk analytikerutbildning
75F,Fritidsledarutbildning (eftergymnasial)
75FA,Fritidsledarutbildning (eftergymnasial)
75H,Läkarutbildning
75HA,Läkarutbildning
75J,Receptarieutbildning
75JA,Receptarieutbildning
75L,Fysioterapeututbildning
75LA,Fysioterapeututbildning
75N,Sjuksköterskeutbildning
75NA,Sjuksköterskeutbildning
75NB,"Specialistsjuksköterskeutbildning, anestesi"
75ND,"Specialistsjuksköterskeutbildning, barnsjukvård"
75NE,"Specialistsjuksköterskeutbildning, distriktssköterska"
75NF,"Specialistsjuksköterskeutbildning, intensivvård"
75NG,"Specialistsjuksköterskeutbildning, operation"
75NH,"Specialistsjuksköterskeutbildning, psykiatri"
75NO,Övrig specialistsjuksköterskeutbildning
75NP,Barnmorskeutbildning
75NR,Röntgensjuksköterskeutbildning
75O,Social service- och omsorgsutbildning
75OA,Eftergymnasial social service- och omsorgsutbildning
75P,Socionomutbildning
75PA,Socionomutbildning
75T,Tandhygienistutbildning
75TA,Tandhygienistutbildning
75V,Tandläkarutbildning
75VA,Tandläkarutbildning
75X,Övrig eftergymnasial utbildning inom hälso- och sjukvård och social omsorg
75XA,Övrig eftergymnasial utbildning inom hälso- och sjukvård och social omsorg
83HA,Gymnasieutbildning inom hår- och skönhetsvård
83R,Hotell- och restaurangutbildning på gymnasial nivå
83RA,"Gymnasieutbildning inom hotell, restaurang och turism"
83T,Transportutbildning på gymnasial nivå
83TA,Gymnasieutbildning inom transport
83X,Övrig gymnasial utbildning inom tjänster
83XA,Övrig gymnasial utbildning inom tjänster
84P,"Minst 30 högskolepoäng inom tjänster, ej examen"
84PH,"180 eller fler högskolepoäng inom tjänster, ej examen"
84PL,"30-179 högskolepoäng inom tjänster, ej examen"
84YA,Eftergymnasial yrkesutbildning inom personliga tjänster kortare än 3 år
85M,Militär utbildning på eftergymnasial nivå
85MA,Eftergymnasial militär utbildning
85P,Polisutbildning
85PA,Polisutbildning
85T,Transportutbildning på eftergymnasial nivå
85TA,Eftergymnasial utbildning inom transport
85X,Övrig eftergymnasial utbildning inom tjänster
85XA,Övrig eftergymnasial utbildning inom tjänster
93Z,"Gymnasial utbildning, okänd inriktning"
93ZA,"Gymnasieutbildning, okänd inriktning"
95Z,"Eftergymnasial utbildning, okänd inriktning"
95ZA,"Eftergymnasial utbildning, okänd inriktning"
99ZA,Okänd
